nncp compress: input bytes=51797434 model dim=256 depth=4 heads=8
num_params_M: 3.483136
nncp compress: bytes=51797434 ctx=1024 slide=768 train_every=256 train_batch=8 train_seq=256
/home/andrew/Developer/a-compressed-world/.venv/lib/python3.12/site-packages/torch/autograd/graph.py:869: UserWarning: Memory Efficient attention defaults to a non-deterministic algorithm. To explicitly enable determinism call torch.use_deterministic_algorithms(True, warn_only=False). (Triggered internally at /pytorch/aten/src/ATen/native/transformers/cuda/attention_backward.cu:900.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
step 62464 bytes 62464 bits 352375 bpb 5.6412 window_bpb 5.2598 elapsed 85.3s
step 63488 bytes 63488 bits 357935 bpb 5.6378 window_bpb 5.4297 elapsed 86.7s
step 64512 bytes 64512 bits 363081 bpb 5.6281 window_bpb 5.0254 elapsed 88.1s
step 65536 bytes 65536 bits 368416 bpb 5.6216 window_bpb 5.2100 elapsed 89.5s
step 66560 bytes 66560 bits 373895 bpb 5.6174 window_bpb 5.3506 elapsed 90.9s
step 67584 bytes 67584 bits 379332 bpb 5.6127 window_bpb 5.3096 elapsed 92.2s
step 68608 bytes 68608 bits 384902 bpb 5.6102 window_bpb 5.4395 elapsed 93.6s
step 69632 bytes 69632 bits 390353 bpb 5.6059 window_bpb 5.3232 elapsed 95.0s
step 70656 bytes 70656 bits 395925 bpb 5.6036 window_bpb 5.4414 elapsed 96.4s
step 71680 bytes 71680 bits 401254 bpb 5.5979 window_bpb 5.2041 elapsed 97.8s
step 72704 bytes 72704 bits 406604 bpb 5.5926 window_bpb 5.2246 elapsed 99.2s
step 73728 bytes 73728 bits 411885 bpb 5.5865 window_bpb 5.1572 elapsed 100.6s
step 74752 bytes 74752 bits 417139 bpb 5.5803 window_bpb 5.1309 elapsed 102.0s
step 75776 bytes 75776 bits 422598 bpb 5.5769 window_bpb 5.3311 elapsed 103.4s
step 76800 bytes 76800 bits 428128 bpb 5.5746 window_bpb 5.4004 elapsed 104.7s
step 77824 bytes 77824 bits 435148 bpb 5.5914 window_bpb 6.8555 elapsed 106.1s
step 78848 bytes 78848 bits 441367 bpb 5.5977 window_bpb 6.0732 elapsed 107.5s
step 79872 bytes 79872 bits 447417 bpb 5.6017 window_bpb 5.9082 elapsed 108.9s
step 80896 bytes 80896 bits 453464 bpb 5.6055 window_bpb 5.9053 elapsed 110.2s
step 81920 bytes 81920 bits 459450 bpb 5.6085 window_bpb 5.8457 elapsed 111.6s
step 82944 bytes 82944 bits 465376 bpb 5.6107 window_bpb 5.7871 elapsed 113.0s
step 83968 bytes 83968 bits 471406 bpb 5.6141 window_bpb 5.8887 elapsed 114.3s
